date,time_utc,symbol,side,units,entry_price,exit_price,pnl_sgd,regime,h1_trend,confidence,rule_blocked,status
2026-05-05,14:36:04,EUR_USD,BUY,3000,1.17004,0,0.38,transition,bearish,81.55%,,WIN
2026-05-05,15:35:58,EUR_USD,SELL,3000,1.17053,,,ranging,neutral,70.69%,,OPEN
2026-05-05,15:40:17,EUR_USD,SELL,3000,1.17094,,,ranging,neutral,79.87%,,OPEN
2026-05-05,16:05:53,EUR_USD,SELL,3000,1.17068,,,ranging,neutral,86.37%,,OPEN
2026-05-05,16:25:30,XAU_USD,BUY,0.8,4561.77,,,transition,neutral,79.59%,,OPEN
2026-05-05,16:40:49,EUR_USD,SELL,3000,1.17013,,,ranging,neutral,91.56%,,OPEN
2026-05-05,16:45:12,XAU_USD,BUY,0.6,4556.775,,,trending,neutral,74.14%,,OPEN
2026-05-05,17:30:54,EUR_USD,SELL,3000,1.16995,,,ranging,bearish,75.01%,,OPEN
2026-05-05,17:45:41,XAU_USD,SELL,0.7,4560.65,,,trending,bearish,72.64%,,OPEN
2026-05-05,18:10:09,EUR_USD,SELL,3000,1.16985,,,ranging,bearish,70.20%,,OPEN
2026-05-05,19:35:33,EUR_USD,SELL,3000,1.16961,,,ranging,bearish,78.90%,,OPEN
2026-05-05,19:55:28,XAU_USD,SELL,1.0,4554.995,,,ranging,bearish,72.22%,,OPEN
2026-05-05,20:30:03,XAU_USD,SELL,1.0,4559.445,,,ranging,bearish,71.87%,,OPEN
2026-05-05,21:45:24,EUR_USD,SELL,3000,1.16932,,,transition,bearish,82.67%,,OPEN
2026-05-05,21:50:42,EUR_USD,SELL,3000,1.16933,,,transition,bearish,86.55%,,OPEN
2026-05-05,21:56:00,EUR_USD,SELL,3000,1.16931,,,ranging,bearish,85.55%,,OPEN
2026-05-06,11:15:56,EUR_USD,BUY,3000,1.17846,,,trending,bullish,66.46%,,OPEN
2026-05-06,11:45:23,XAU_USD,BUY,0.4,4699.68,,,trending,bullish,73.26%,,OPEN
2026-05-06,11:50:42,XAU_USD,BLOCKED,,,,,trending,,77.98%,Daily trade limit reached,BLOCKED
2026-05-06,11:55:55,XAU_USD,BLOCKED,,,,,trending,,91.66%,Daily trade limit reached,BLOCKED
2026-05-06,12:00:08,XAU_USD,BLOCKED,,,,,trending,,88.98%,Daily trade limit reached,BLOCKED
2026-05-06,13:10:27,XAU_USD,BLOCKED,,,,,trending,,65.43%,Session open skip window,BLOCKED
2026-05-06,13:10:32,EUR_USD,BLOCKED,,,,,trending,,83.09%,Session open skip window,BLOCKED
2026-05-06,13:20:09,EUR_USD,BLOCKED,,,,,trending,,89.65%,Session open skip window,BLOCKED
2026-05-06,14:21:03,EUR_USD,BLOCKED,,,,,trending,,80.65%,Daily trade limit reached,BLOCKED
2026-05-06,14:25:16,EUR_USD,BLOCKED,,,,,trending,,81.08%,Daily trade limit reached,BLOCKED
2026-05-06,14:40:01,EUR_USD,BLOCKED,,,,,trending,,65.55%,Daily trade limit reached,BLOCKED
2026-05-06,14:45:19,EUR_USD,BLOCKED,,,,,trending,,82.20%,Daily trade limit reached,BLOCKED
2026-05-06,14:50:35,EUR_USD,BLOCKED,,,,,trending,,88.03%,Daily trade limit reached,BLOCKED
2026-05-06,14:55:51,EUR_USD,BLOCKED,,,,,trending,,92.38%,Daily trade limit reached,BLOCKED
2026-05-06,15:01:11,EUR_USD,BLOCKED,,,,,trending,,89.70%,Daily trade limit reached,BLOCKED
2026-05-06,15:05:25,EUR_USD,BLOCKED,,,,,trending,,84.55%,Daily trade limit reached,BLOCKED
2026-05-06,15:10:40,EUR_USD,BLOCKED,,,,,trending,,72.01%,Daily trade limit reached,BLOCKED
2026-05-06,15:25:25,EUR_USD,BLOCKED,,,,,trending,,83.29%,Daily trade limit reached,BLOCKED
2026-05-06,15:30:39,EUR_USD,BLOCKED,,,,,transition,,84.02%,Daily trade limit reached,BLOCKED
2026-05-06,15:35:54,EUR_USD,BLOCKED,,,,,transition,,73.35%,Daily trade limit reached,BLOCKED
2026-05-06,15:40:07,EUR_USD,BLOCKED,,,,,transition,,72.03%,Daily trade limit reached,BLOCKED
2026-05-06,15:45:23,EUR_USD,BLOCKED,,,,,transition,,84.41%,Daily trade limit reached,BLOCKED
2026-05-06,15:50:37,EUR_USD,BLOCKED,,,,,ranging,,85.64%,Daily trade limit reached,BLOCKED
